"ISSUERID","ISSUER_NAME","Client_ID","client1","ISSUER_TICKER","ISSUER_CUSIP","ISSUER_SEDOL","ISSUER_ISIN","ISSUER_CNTRY_DOMICILE","ACCESS_TO_FIN_MODERATE_CONTROVERSIES","ACCESS_TO_FIN_SEVERE_CONTROVERSIES","ACCESS_TO_FIN_VERY_SEVERE_CONTROVERSIES","ACCESS_TO_HLTHCRE_MODERATE_CONTROVERSIES","ACCESS_TO_HLTHCRE_SEVERE_CONTROVERSIES","ACCESS_TO_HLTHCRE_VERY_SEVERE_CONTROVERSIES","BIODIV_LAND_USE_MODERATE_CONTROVERSIES","BIODIV_LAND_USE_SEVERE_CONTROVERSIES","BIODIV_LAND_USE_VERY_SEVERE_CONTROVERSIES","CHEM_SAFETY_MODERATE_CONTROVERSIES","CHEM_SAFETY_SEVERE_CONTROVERSIES","CHEM_SAFETY_VERY_SEVERE_CONTROVERSIES","CONTROV_SRC_MODERATE_CONTROVERSIES","CONTROV_SRC_SEVERE_CONTROVERSIES","CONTROV_SRC_VERY_SEVERE_CONTROVERSIES","E_WASTE_MODERATE_CONTROVERSIES","E_WASTE_SEVERE_CONTROVERSIES","E_WASTE_VERY_SEVERE_CONTROVERSIES","HLTH_SAFETY_MODERATE_CONTROVERSIES","HLTH_SAFETY_SEVERE_CONTROVERSIES","HLTH_SAFETY_VERY_SEVERE_CONTROVERSIES","HUMAN_CAPITAL_DEV_MODERATE_CONTROVERSIES","HUMAN_CAPITAL_DEV_SEVERE_CONTROVERSIES","HUMAN_CAPITAL_DEV_VERY_SEVERE_CONTROVERSIES","LABOR_MGMT_MODERATE_CONTROVERSIES","LABOR_MGMT_SEVERE_CONTROVERSIES","LABOR_MGMT_VERY_SEVERE_CONTROVERSIES","CONTR_ANTI_COMP_N_SEVERE","CONTR_BRIB_CORRUPT_N_SEVERE","CONTR_ETHICS_N_SEVERE","CONTR_CHEM_SAFE_N_SEVERE","CONTR_CLIMATE_CHNG_N_SEVERE","CONTR_COLLECTIVE_BARG_N_SEVERE","CONTR_HEALTH_SAFETY_N_SEVERE","CONTR_CONTROVERSIAL_WORKPLACE_N_SEVERE","CONTR_CUSTOMER_FRAUD_N_SEVERE","CONTR_DATA_SECURITY_N_SEVERE","CONTR_DISCRIMINATION_DIV_N_SEVERE","CONTR_DISCRIMINATORY_ACCESS_N_SEVERE","CONTR_ENV_IMPACT_N_SEVERE","CONTR_ENV_INVESTMENT_N_SEVERE","CONTR_HUMAN_RIGHTS_N_SEVERE","CONTR_MARKETING_N_SEVERE","CONTR_IMPACT_ECOSYSTEMS_N_SEVERE","CONTR_PRODUCT_SAFE_N_SEVERE","CONTR_RAW_MATERIAL_N_SEVERE","CONTR_SOC_IMPACT_RAW_MAT_N_SEVERE","CONTR_IMPACT_COMMUNITY_N_SEVERE","CONTR_SUPPLY_CHAIN_LABOR_N_SEVERE","CONTR_TAX_SUBSIDIES_N_SEVERE","CONTR_TOXIC_EMISS_WASTE_N_SEVERE","CONTR_WATER_N_SEVERE","BUS_ETHICS_ANTICOMP_MODERATE_CONTROVERSIES","BUS_ETHICS_ETHICSFRAUD_MODERATE_CONTROVERSIES","COMM_REL_MODERATE_CONTROVERSIES","FIN_PROD_SAFETY_MODERATE_CONTROVERSIES","FINANCING_ENV_IMP_MODERATE_CONTROVERSIES","BUS_ETHICS_CORRUPTION_MODERATE_CONTROVERSIES","BUS_ETHICS_ANTICOMP_SEVERE_CONTROVERSIES","BUS_ETHICS_ETHICSFRAUD_SEVERE_CONTROVERSIES","COMM_REL_SEVERE_CONTROVERSIES","FIN_PROD_SAFETY_SEVERE_CONTROVERSIES","FINANCING_ENV_IMP_SEVERE_CONTROVERSIES","BUS_ETHICS_CORRUPTION_SEVERE_CONTROVERSIES","BUS_ETHICS_ANTICOMP_VERY_SEVERE_CONTROVERSIES","BUS_ETHICS_ETHICSFRAUD_VERY_SEVERE_CONTROVERSIES","COMM_REL_VERY_SEVERE_CONTROVERSIES","FIN_PROD_SAFETY_VERY_SEVERE_CONTROVERSIES","FINANCING_ENV_IMP_VERY_SEVERE_CONTROVERSIES","BUS_ETHICS_CORRUPTION_VERY_SEVERE_CONTROVERSIES","OPPS_NUTRI_HLTH_MODERATE_CONTROVERSIES","OPPS_NUTRI_HLTH_SEVERE_CONTROVERSIES","OPPS_NUTRI_HLTH_VERY_SEVERE_CONTROVERSIES","PACK_MAT_WASTE_MODERATE_CONTROVERSIES","PACK_MAT_WASTE_SEVERE_CONTROVERSIES","PACK_MAT_WASTE_VERY_SEVERE_CONTROVERSIES","PRIVACY_DATA_SEC_MODERATE_CONTROVERSIES","PRIVACY_DATA_SEC_SEVERE_CONTROVERSIES","PRIVACY_DATA_SEC_VERY_SEVERE_CONTROVERSIES","PROD_SFTY_QUALITY_MODERATE_CONTROVERSIES","PROD_SFTY_QUALITY_SEVERE_CONTROVERSIES","PROD_SFTY_QUALITY_VERY_SEVERE_CONTROVERSIES","RAW_MAT_SRC_MODERATE_CONTROVERSIES","RAW_MAT_SRC_SEVERE_CONTROVERSIES","RAW_MAT_SRC_VERY_SEVERE_CONTROVERSIES","RESPONSIBLE_INVEST_MODERATE_CONTROVERSIES","RESPONSIBLE_INVEST_SEVERE_CONTROVERSIES","RESPONSIBLE_INVEST_VERY_SEVERE_CONTROVERSIES","SUPPLY_CHAIN_LAB_MODERATE_CONTROVERSIES","SUPPLY_CHAIN_LAB_SEVERE_CONTROVERSIES","SUPPLY_CHAIN_LAB_VERY_SEVERE_CONTROVERSIES","CONTR_ANTI_COMP_N_TOTAL","CONTR_BRIB_CORRUPT_N_TOTAL","CONTR_ETHICS_N_TOTAL","CONTR_CHEM_SAFE_N_TOTAL","CONTR_CLIMATE_CHNG_N_TOTAL","CONTR_COLLECTIVE_BARG_N_TOTAL","CONTR_CONTROVERSIAL_WORKPLACE_N_TOTAL","CONTR_HEALTH_SAFETY_N_TOTAL","CONTR_CUSTOMER_FRAUD_N_TOTAL","CONTR_DATA_SECURITY_N_TOTAL","CONTR_DISCRIMINATION_DIV_N_TOTAL","CONTR_DISCRIMINATORY_ACCESS_N_TOTAL","CONTR_ENV_IMPACT_N_TOTAL","CONTR_ENV_INVESTMENT_N_TOTAL","CONTR_HUMAN_RIGHTS_N_TOTAL","CONTR_MARKETING_N_TOTAL","CONTR_IMPACT_ECOSYSTEMS_N_TOTAL","CONTR_PRODUCT_SAFE_N_TOTAL","CONTR_RAW_MATERIAL_N_TOTAL","CONTR_SOC_IMPACT_RAW_MAT_N_TOTAL","CONTR_IMPACT_COMMUNITY_N_TOTAL","CONTR_SUPPLY_CHAIN_LABOR_N_TOTAL","CONTR_TOXIC_EMISS_WASTE_N_TOTAL","CONTR_WATER_N_TOTAL","TAX_TRANSP_CONTROVERSIES_TOTAL","TOXIC_EMISS_MODERATE_CONTROVERSIES","TOXIC_EMISS_SEVERE_CONTROVERSIES","TOXIC_EMISS_VERY_SEVERE_CONTROVERSIES","WATER_STRESS_MODERATE_CONTROVERSIES","WATER_STRESS_SEVERE_CONTROVERSIES","WATER_STRESS_VERY_SEVERE_CONTROVERSIES"
"IID000000002123741","Koninklijke BAM Groep N.V.","NL0000337319","Koninklijke bam groep n.v.","BAMNB","","","NL0000337319","NL","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","","","","0","0","0","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","","","","","",""
"IID000000002123744","ABB Ltd","CH0012221716","Abb ltd","ABBN","","","CH0012221716","CH","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","1","0","0","","","","0","0","0","","","","0","","","","","","","0","0","0","","","","","","","","","","","","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0"
"IID000000002123946","PNE AG","DE000A0JBPG2","Pne ag","PNE3","","","DE000A0JBPG2","DE","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","","","","0","0","0","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","","","","","",""
"IID000000002123948","BUNZL PUBLIC LIMITED COMPANY","GB00B0744B38","Bunzl public limited company","BNZL","","","GB00B0744B38","GB","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","","","","0","0","0","","","","0","","","","","","","0","0","0","","","","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","","","","0","0","0"
"IID000000002123956","CHEMRING GROUP PLC","GB00B45C9X44","Chemring group plc","CHG","","","GB00B45C9X44","GB","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","","","","0","0","0","","","","0","","","","","","","","","","0","0","0","","","","","","","","","","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","","","","","",""
"IID000000002123963","Duerr Aktiengesellschaft","DE0005565204","Duerr aktiengesellschaft","DUE","","","DE0005565204","DE","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","","","","0","0","0","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","","",""
"IID000000002124024","Brunel International NV","NL0010776944","Brunel international nv","BRNL","","","NL0010776944","NL","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","","","","0","0","0","","","","0","","","","","","","0","0","0","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","","","","","",""
"IID000000002124321","MERSEN SA","FR0000039620","Mersen sa","MRN","","","FR0000039620","FR","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","","","","0","0","0","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","","",""
"IID000000002125837","DFDS A/S","DK0060655629","Dfds a/s","DFDS","","","DK0060655629","DK","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","","","","0","0","0","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","","",""
"IID000000002125866","DIPLOMA PLC","GB0001826634","Diploma plc","DPLM","","","GB0001826634","GB","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","","","","0","0","0","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","","","","","",""
"IID000000002125879","DE LA RUE PLC","GB00B3DGH821","De la rue plc","DLAR","","","GB00B3DGH821","GB","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","","","","0","0","0","","","","0","","","","","","","","","","","","","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","","","","","",""
"IID000000002125950","Airbus SE","NL0000235190","Airbus se","AIR","","","NL0000235190","NL","","","","","","","","","","","","","","","","","","","","","","1","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","1","","","","0","0","0","","","","0","0","0","","","","0","","","","","","","0","0","0","4","1","5","","","","","","","","","","0","0","1","0","0","2","0","1","0","0","0","0","0","0","1","0","0","14","0","0","0","0","0","0","0.0","","","","0","0","0"
"IID000000002126002","EASYJET PLC","GB00B7KR2P84","Easyjet plc","EZJ","","","GB00B7KR2P84","GB","","","","","","","","","","","","","","","","","","","","","","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","","","","0","0","0","","","","0","","","","","","","1","0","0","3","0","0","","","","","","","","","","0","0","0","0","0","0","1","1","3","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0.0","","","","","",""
"IID000000002126336","Forbo Holding AG","CH0003541510","Forbo holding ag","FORN","","","CH0003541510","CH","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","","","","0","0","0","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","","",""
