isin,name
FR0000073272,Safran sa
NL0000852564,Aalberts n.v.
IT0001415246,Fincantieri s.p.a.
NL0010937058,Intertrust N.V.
CH0012138605,Adecco group ag
GB0005790059,John Menzies plc
GB0002018363,Clarkson plc
GB0030232317,Pagegroup plc
SE0001515552,Indutrade aktiebolag
FR0010220475,Alstom sa
GB0005630420,Mears group plc
NO0010904923,Hexagon purus asa
GB00BGLP8L22,Imi plc
NL0000337319,Koninklijke bam groep n.v.
GB0007739609,Travis Perkins plc
FR0000038606,Manitou bf sa
DE0005403901,Cewe stiftung and co. kgaa
GB0004762810,Johnson service group plc
IT0003856405,Leonardo - societa per azioni
GB00BWFGQN14,Spirax-sarco engineering plc
FR0004180537,AKKA Technologies SE
SE0009806607,Munters group ab
SE0011166610,Atlas Copco AB
GB0009390070,Volex plc
FR0004188670,Tarkett sa
GB00B6YTLS95,Stagecoach Group plc
CH0238627142,Bossard holding ag
GB00BD9G2S12,Gates industrial corporation plc
GB0003096442,Rs group plc
SE0001200015,Invisio ab
IT0003865570,Webuild s.p.a.
SE0000112385,Saab aktiebolag
GB0005576813,Howden joinery group plc
IE00BKYC3F77,Cimpress plc
GB00B19NLV48,Experian plc
GB0033057794,Dialight plc
CH0012684657,Bobst Group SA
IT0003097257,Biesse s.p.a.
GB00BG5KQW09,Ceres power holdings plc
NL0000687663,Aercap holdings n.v.
DE0005232805,Bertrandt aktiengesellschaft
GB0003753778,The Go-Ahead Group plc
AT0000609607,Porr ag
GB00B01QGK86,Ncc group plc
DE000A1DAHH0,Brenntag se
GB00B3DGH821,De la rue plc
DE0005565204,Duerr aktiengesellschaft
GB00B0744B38,Bunzl public limited company
GB0009465807,Weir group plc(the)
GB0009123323,Ultra Electronics Holdings plc
FI0009003230,Finnair Oyj
CH0276534614,Zehnder group ag
JE00BF50RG45,Yellow cake plc
DK0060542181,Iss a/s
FR0013199916,Somfy SA
DK0060079531,Dsv a/s
SE0014504817,Loomis ab
ES0167050915,Acs- actividades de construccion y servicios- s.a.
GB00B82YXW83,Vesuvius plc
GB00B2B0DG97,Relx plc
FI0009003727,Wartsila oyj abp
DE0007314007,Heidelberger druckmaschinen aktiengesellschaft
FR0011665280,Figeac aero sarl
DE0007235301,SGL Carbon SE
SE0000667891,Sandvik aktiebolag
CH0003541510,Forbo holding ag
SE0006220018,Inwido ab (publ)
IE0004927939,Kingspan group public limited company
DE000KGX8881,Kion group ag
FR0012435121,Elis sa
ES0184933812,Zardoya Otis S.A.
IE00BK9ZQ967,Trane technologies plc
IE0002424939,Dcc public limited company
CH0110240600,Arbonia ag
GB0000667013,Avon protection plc
DE000KC01000,Kloeckner and co se
GB0004161021,Hays plc
ES0129743318,Elecnor- s.a.
DE0005168108,Bauer aktiengesellschaft
CH0010754924,Schweiter Technologies AG
NO0010890304,Aker carbon capture asa
