ISSUER_ISIN,ANNEE,TRIMESTRE,AS_OF_DATE,IVA_COMPANY_RATING,IVA_PREVIOUS_RATING,IVA_RATING_TREND,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,delta_WEIGHTED_AVERAGE_SCORE,delta_ENVIRONMENTAL_PILLAR_SCORE,delta_SOCIAL_PILLAR_SCORE,delta_GOVERNANCE_PILLAR_SCORE
AEA000201011,2023,3,20240101,A,AA,-1.0,6.7,5.3,5.9,5.9,4.0,,,,
AEA000201011,2024,3,20241001,AA,A,1.0,8.0,5.7,9.1,5.8,4.1,0.40000000000000036,3.1999999999999993,-0.10000000000000053,0.09999999999999964
AEA000801018,2023,3,20240101,A,A,0.0,6.7,5.1,4.2,5.3,5.3,,,,
AEA000801018,2024,3,20240901,AA,A,1.0,7.7,5.6,6.1,5.6,5.6,0.5,1.8999999999999995,0.2999999999999998,0.2999999999999998
AEA001901015,2023,3,20240101,BBB,,,4.7,3.6,1.8,4.8,4.8,,,,
AEA001901015,2024,3,20240901,BBB,BBB,0.0,4.5,4.2,2.0,5.0,6.2,0.6000000000000001,0.19999999999999996,0.20000000000000018,1.4000000000000004
AEA002001013,2023,2,20240101,BBB,BBB,0.0,5.3,4.9,4.9,5.6,4.7,,,,
AEA002001013,2024,2,20240701,BBB,BBB,0.0,4.7,4.7,5.4,6.0,3.7,-0.20000000000000018,0.5,0.40000000000000036,-1.0
AEA002401015,2023,3,20240101,BBB,BBB,0.0,5.6,6.1,6.9,8.1,4.0,,,,
AEA002401015,2024,4,20241101,A,BBB,1.0,6.0,5.9,7.0,5.5,4.1,-0.1999999999999993,0.09999999999999964,-2.5999999999999996,0.09999999999999964
AEA003001012,2023,2,20240101,A,A,0.0,6.5,4.8,7.1,5.0,3.1,,,,
AEA003001012,2024,2,20240701,AA,A,1.0,8.4,5.5,7.1,5.8,4.0,0.7000000000000002,0.0,0.7999999999999998,0.8999999999999999
AEA006101017,2023,1,20240101,BB,BBB,-1.0,3.3,4.0,6.8,5.2,1.4,,,,
AEA006101017,2024,1,20240201,BB,BB,0.0,4.1,4.6,6.9,6.7,1.8,0.5999999999999996,0.10000000000000053,1.5,0.40000000000000013
AEA007301012,2024,4,20241101,B,,,2.6,4.9,7.2,4.1,3.0,,,,
AEA007501017,2023,3,20240101,AA,,,7.7,6.3,8.7,6.3,6.0,,,,
AEA007501017,2024,3,20240901,AA,AA,0.0,8.3,6.6,8.7,6.3,6.8,0.2999999999999998,0.0,0.0,0.7999999999999998
AEB000101011,2023,1,20240101,B,BB,-1.0,2.6,3.7,0.8,4.0,4.5,,,,
AEB000101011,2024,1,20240201,BB,B,1.0,3.3,3.7,0.1,3.8,5.0,0.0,-0.7000000000000001,-0.20000000000000018,0.5
AED000201015,2023,3,20240101,BBB,BBB,0.0,5.7,4.7,4.5,4.3,5.4,,,,
AED000201015,2024,3,20240901,A,BBB,1.0,6.4,5.0,4.4,4.6,5.8,0.2999999999999998,-0.09999999999999964,0.2999999999999998,0.39999999999999947
AED000601016,2023,1,20240101,CCC,CCC,0.0,1.2,3.1,7.7,0.4,5.0,,,,
