name,score_kind,annee,trimestre,isin,sector,industry,country,region,first_quartile,consensus,third_quartile,strength,delta
AKKA Technologies SE,E,2022,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,34.1,34.1,67.3,66.8,
AKKA Technologies SE,E,2022,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,34.1,34.1,67.3,66.8,0.0
AKKA Technologies SE,E,2022,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,34.1,34.1,67.3,66.8,0.0
AKKA Technologies SE,E,2022,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,34.1,34.1,67.3,66.8,0.0
AKKA Technologies SE,E,2023,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,34.3,34.3,63.3,71.0,0.19999999999999574
AKKA Technologies SE,E,2023,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,34.3,34.3,63.3,71.0,0.0
AKKA Technologies SE,E,2023,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,34.3,34.3,63.3,71.0,0.0
AKKA Technologies SE,E,2023,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,34.3,34.3,63.3,71.0,0.0
AKKA Technologies SE,E,2024,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,34.3,34.3,63.3,71.0,0.0
AKKA Technologies SE,E,2024,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,34.3,34.3,63.3,71.0,0.0
AKKA Technologies SE,E,2024,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,34.3,34.3,63.3,71.0,0.0
AKKA Technologies SE,E,2024,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,34.3,34.3,63.3,71.0,0.0
AKKA Technologies SE,E,2025,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,34.3,34.3,63.3,71.0,0.0
AKKA Technologies SE,ESG,2020,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,35.1,35.1,35.1,100.0,
AKKA Technologies SE,ESG,2020,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,35.1,35.1,35.1,100.0,0.0
AKKA Technologies SE,ESG,2020,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,35.1,35.1,35.1,100.0,0.0
AKKA Technologies SE,ESG,2020,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,35.1,35.1,35.1,100.0,0.0
AKKA Technologies SE,ESG,2021,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,35.1,35.1,35.1,100.0,0.0
AKKA Technologies SE,ESG,2021,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,35.1,35.1,35.1,100.0,0.0
AKKA Technologies SE,ESG,2021,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,35.1,35.1,35.1,100.0,0.0
AKKA Technologies SE,ESG,2021,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,35.1,35.1,35.1,100.0,0.0
AKKA Technologies SE,ESG,2022,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,43.7,43.7,43.7,100.0,8.600000000000001
AKKA Technologies SE,ESG,2022,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,43.7,43.7,43.7,100.0,0.0
AKKA Technologies SE,ESG,2022,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,43.7,43.7,43.7,100.0,0.0
AKKA Technologies SE,ESG,2022,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,43.7,43.7,43.7,100.0,0.0
AKKA Technologies SE,ESG,2023,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,39.1,39.1,51.8,87.4,-4.600000000000001
AKKA Technologies SE,ESG,2023,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,39.1,39.1,51.8,87.4,0.0
AKKA Technologies SE,ESG,2023,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,39.1,39.1,51.8,87.4,0.0
AKKA Technologies SE,ESG,2023,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,39.1,39.1,51.8,87.4,0.0
AKKA Technologies SE,ESG,2024,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,39.1,39.1,51.8,87.4,0.0
AKKA Technologies SE,ESG,2024,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,39.1,39.1,51.8,87.4,0.0
AKKA Technologies SE,ESG,2024,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,39.1,39.1,51.8,87.4,0.0
AKKA Technologies SE,ESG,2024,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,39.1,39.1,51.8,87.4,0.0
AKKA Technologies SE,ESG,2025,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,39.1,39.1,51.8,87.4,0.0
AKKA Technologies SE,G,2022,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,40.3,40.3,40.3,100.0,
AKKA Technologies SE,G,2022,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,40.3,40.3,40.3,100.0,0.0
AKKA Technologies SE,G,2022,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,40.3,40.3,40.3,100.0,0.0
AKKA Technologies SE,G,2022,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,40.3,40.3,40.3,100.0,0.0
AKKA Technologies SE,G,2023,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,-2.8999999999999986
AKKA Technologies SE,G,2023,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,0.0
AKKA Technologies SE,G,2023,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,0.0
AKKA Technologies SE,G,2023,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,0.0
AKKA Technologies SE,G,2024,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,0.0
AKKA Technologies SE,G,2024,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,0.0
AKKA Technologies SE,G,2024,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,0.0
AKKA Technologies SE,G,2024,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,0.0
AKKA Technologies SE,G,2025,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,0.0
AKKA Technologies SE,S,2022,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,42.3,42.3,42.3,100.0,
AKKA Technologies SE,S,2022,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,42.3,42.3,42.3,100.0,0.0
AKKA Technologies SE,S,2022,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,42.3,42.3,42.3,100.0,0.0
AKKA Technologies SE,S,2022,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,42.4,42.4,42.4,100.0,0.10000000000000142
AKKA Technologies SE,S,2023,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,-5.600000000000001
AKKA Technologies SE,S,2023,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
AKKA Technologies SE,S,2023,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
AKKA Technologies SE,S,2023,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
AKKA Technologies SE,S,2024,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
AKKA Technologies SE,S,2024,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
AKKA Technologies SE,S,2024,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
AKKA Technologies SE,S,2024,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
AKKA Technologies SE,S,2025,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
Aalberts n.v.,E,2020,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,45.6,45.6,45.6,100.0,
Aalberts n.v.,E,2020,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,45.6,45.6,45.6,100.0,0.0
Aalberts n.v.,E,2020,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,45.6,45.6,45.6,100.0,0.0
Aalberts n.v.,E,2020,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,45.6,45.6,45.6,100.0,0.0
Aalberts n.v.,E,2021,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,50.4,50.4,50.4,100.0,4.799999999999997
Aalberts n.v.,E,2021,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,50.4,50.4,50.4,100.0,0.0
Aalberts n.v.,E,2021,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,50.4,50.4,50.4,100.0,0.0
Aalberts n.v.,E,2021,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,50.4,50.4,50.4,100.0,0.0
Aalberts n.v.,E,2022,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,35.9,35.9,47.0,88.9,-14.5
Aalberts n.v.,E,2022,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,35.9,35.9,47.0,88.9,0.0
Aalberts n.v.,E,2022,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,35.9,35.9,47.0,88.9,0.0
